-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
7.3,11.9,95.5,13.0,7.8
7.1,12.9,96.2,12.7,8.1
7.4,12.4,93.8,13.3,7.9
7.4,12.2,98.9,12.9,8.3
7.4,12.3,101.5,13.6,8.0
7.3,12.6,99.8,13.1,8.0
7.7,12.6,100.7,12.8,8.3
7.2,12.2,98.9,12.9,7.9
7.3,12.6,95.1,13.4,7.7
7.4,12.0,94.7,12.8,8.2
7.4,12.0,95.9,13.6,7.6
7.5,11.6,98.3,13.8,7.8
7.7,12.7,93.1,13.9,8.2
7.1,12.6,88.4,13.4,7.8
7.4,12.4,95.6,14.0,7.6
7.2,12.3,92.2,13.9,8.0
7.1,11.6,94.9,13.0,8.2
7.4,11.6,91.7,13.3,8.4
7.1,12.3,85.9,13.0,8.1
7.5,11.9,85.9,13.9,7.8
7.4,12.0,90.9,13.7,7.9
7.5,12.5,86.3,13.7,8.3
6.9,11.7,91.1,13.3,8.1
7.2,12.0,84.5,13.2,8.2
7.2,12.3,83.5,14.2,7.6
7.4,11.4,88.5,14.3,8.3
7.5,11.5,81.2,13.0,7.8
7.0,12.1,81.1,13.8,7.9
6.9,11.3,82.6,13.3,8.4
7.2,11.5,83.1,13.5,7.9
6.8,11.7,80.7,13.8,8.0
7.1,11.4,82.0,13.2,7.8
7.1,12.4,84.5,13.8,8.2
7.0,11.4,79.6,14.1,8.4
7.1,11.9,83.5,13.1,7.8
7.3,11.3,82.0,13.6,7.8
6.8,11.7,78.0,14.0,7.9
7.1,11.7,81.6,13.8,8.2
7.0,11.8,78.7,13.2,8.4
6.7,12.0,79.6,14.1,8.2
6.7,11.8,76.9,13.6,8.3
6.9,12.2,78.0,14.2,8.0
6.8,11.1,77.1,13.3,8.0
7.1,11.3,71.9,13.3,7.9
7.3,11.8,75.5,13.3,8.4
6.6,12.0,71.0,14.1,8.0
6.8,11.6,73.2,14.4,7.8
7.1,12.0,70.8,14.1,7.9
7.0,11.9,72.5,14.0,8.2
6.7,11.5,72.6,13.8,8.4
6.7,11.3,68.4,13.7,8.0
7.0,11.7,67.4,14.3,8.5
6.8,11.9,67.2,14.2,8.5
6.9,10.9,69.9,13.4,8.2
6.9,11.0,65.4,14.5,8.0
7.1,11.2,66.6,13.4,8.0
6.9,11.6,65.5,14.1,8.5
7.0,11.4,66.0,14.2,8.4
6.6,11.2,63.0,13.4,8.4
6.9,10.9,67.2,13.5,8.3
6.5,11.2,67.2,13.6,8.5
7.1,10.9,63.5,14.5,7.9
6.5,10.9,63.5,14.5,7.9
6.9,11.7,65.9,13.9,8.6
7.0,11.5,59.9,13.4,8.0
7.0,11.2,61.3,14.7,8.6
6.5,11.7,58.7,14.3,7.9
6.7,11.0,63.1,13.6,8.5
6.6,11.2,59.1,13.9,8.0
6.4,11.4,59.3,13.6,8.7
6.6,11.6,56.5,14.5,8.2
6.5,11.0,56.5,13.5,8.4
6.7,10.9,58.3,14.4,8.4
6.8,11.5,59.6,14.5,8.0
6.6,10.6,54.2,13.6,8.2
6.8,10.6,57.4,14.6,8.2
6.3,11.2,54.3,14.5,8.3
6.8,11.4,55.0,14.8,8.5
6.3,11.2,54.7,14.8,8.5
6.3,10.4,54.2,14.8,8.0
6.3,11.0,51.5,14.5,8.4
6.3,11.2,53.6,13.9,8.7
6.6,11.3,50.7,14.4,8.6
6.5,10.7,49.8,13.6,8.2
6.5,11.1,50.1,14.1,8.4
6.7,10.5,49.3,13.6,8.6
6.6,11.3,51.1,14.3,8.5
6.6,10.8,50.0,14.8,8.1
6.4,11.3,49.0,13.7,8.2
6.6,11.0,49.8,13.6,8.2
6.5,10.6,48.3,13.8,8.8
6.3,11.0,47.2,14.5,8.2
6.5,10.9,48.0,14.8,8.1
6.2,11.1,44.7,14.7,8.9
6.7,10.4,46.7,14.7,8.4
6.1,10.5,45.4,13.9,8.7
6.0,11.1,43.3,13.9,8.4
6.2,11.2,41.6,14.7,8.6
6.4,10.6,44.5,13.8,8.7
6.5,10.1,41.3,14.1,8.7
6.2,10.9,41.7,14.9,8.5
6.5,10.5,39.5,14.6,8.3
6.4,11.0,41.5,14.0,8.7
6.3,10.7,41.2,13.9,8.2
6.4,10.4,39.5,15.0,8.8
6.0,10.6,37.2,14.7,8.6
6.2,10.0,37.8,14.2,8.5
6.0,10.5,37.7,14.6,8.9
6.0,10.4,37.5,14.9,8.2
6.3,10.7,37.9,14.1,8.9
6.3,10.3,35.7,15.1,8.8
6.0,10.8,35.9,15.0,8.4
5.9,10.6,34.2,14.1,9.0
6.0,11.0,34.5,14.4,8.2
5.8,11.1,32.2,14.9,8.5
6.4,10.5,32.2,14.7,9.0
6.3,10.6,32.2,13.9,8.9
5.8,10.5,32.4,14.6,8.5
5.8,9.8,30.4,15.2,8.5
5.8,10.0,28.9,14.1,8.9
5.9,46.4,29.7,14.6,8.9
6.0,44.8,30.1,14.1,8.4
6.0,44.0,28.5,14.9,8.7
5.7,43.5,27.5,14.2,8.6
6.1,40.0,26.5,13.9,8.3
5.8,42.3,27.4,14.1,8.9
5.8,38.7,26.8,14.4,8.7
6.2,40.8,24.8,14.7,8.7
6.2,39.2,25.6,14.0,8.7
6.0,36.9,24.3,15.0,9.1
6.3,36.0,24.2,14.4,8.9
6.5,36.3,22.2,15.3,8.6
6.1,36.1,22.1,13.9,8.6
5.9,33.1,21.3,14.6,9.0
5.8,32.5,22.5,14.7,8.7
6.0,31.6,20.3,14.6,8.7
5.6,31.5,19.5,14.4,8.5
6.0,29.8,18.9,14.4,8.9
54.9,29.2,19.8,14.5,9.2
92.1,29.3,18.8,15.4,8.7
94.8,29.2,17.9,14.5,8.7
93.3,27.1,16.6,14.6,8.4
92.2,26.4,16.7,15.4,9.2
92.2,24.3,16.4,14.3,8.6
90.4,24.1,14.9,14.1,9.2
92.8,24.3,15.0,14.6,9.2
95.6,22.4,14.0,15.1,9.2
90.3,23.0,14.2,14.7,8.5
90.1,21.5,13.0,14.5,9.2
87.6,20.0,12.1,15.4,9.0
91.4,18.7,11.8,14.3,9.1
87.1,19.0,11.4,15.3,8.7
92.5,18.2,10.5,14.8,9.3
95.5,17.3,10.0,15.3,9.3
91.2,15.8,9.8,14.9,9.2
95.4,15.8,8.9,14.0,8.9
92.2,14.4,8.6,13.2,9.1
88.3,14.0,7.5,12.4,9.3
94.8,12.2,7.5,11.9,9.2
88.1,12.0,6.9,11.0,8.5
89.2,12.7,6.5,10.1,8.9
94.0,13.4,6.3,9.0,9.0
67.6,14.1,6.1,7.9,9.6
47.1,17.9,5.9,6.7,9.2
33.3,22.0,6.5,6.3,9.9
25.2,30.7,7.0,6.1,11.3
20.8,49.1,7.1,5.3,11.3
18.2,87.5,8.7,5.3,10.5
14.9,90.0,9.6,5.1,9.4
13.5,92.3,11.4,5.4,7.5
17.5,52.3,15.9,5.7,6.7
20.3,37.5,19.4,5.6,6.2
30.0,26.4,29.1,6.4,5.5
55.3,20.7,48.1,7.6,5.4
98.0,18.2,93.7,8.3,5.2
97.9,15.8,92.7,9.7,5.3
104.6,14.1,86.8,10.8,5.4
96.0,13.2,95.8,11.6,5.0
85.0,13.1,80.6,12.9,5.3
75.7,12.8,69.0,13.7,5.5
72.5,12.4,64.3,14.2,5.5
65.5,12.5,59.7,15.1,5.4
65.2,12.6,59.4,15.6,5.5
71.9,11.7,56.6,14.8,5.7
69.0,11.3,55.2,16.0,5.8
71.5,11.0,52.7,15.5,6.4
70.8,11.7,49.0,15.8,6.1
76.7,11.6,50.2,15.9,6.2
74.5,11.2,51.3,17.8,6.3
82.0,10.3,50.9,17.8,6.5
77.4,10.6,49.1,17.5,6.9
86.9,10.4,47.9,18.0,7.2
85.7,10.6,49.8,17.9,7.3
83.9,10.5,46.9,18.8,7.1
91.0,9.6,47.9,18.4,7.4
88.9,10.0,44.9,20.1,7.8
93.2,9.3,44.0,19.7,7.7
95.0,9.4,43.5,20.5,7.6
95.7,9.5,43.6,20.1,8.3
100.6,9.3,44.2,20.3,8.2
96.7,8.9,42.6,20.1,8.8
6.9,8.8,42.7,20.2,8.3
7.0,8.5,42.8,20.9,8.4
6.9,9.0,43.6,21.0,8.5
7.1,8.5,57.2,19.3,9.1
6.7,9.0,76.3,16.8,8.5
6.5,10.3,74.8,15.6,8.4
6.6,10.3,71.8,15.5,8.9
6.5,10.2,71.0,14.5,8.4
5.9,10.5,71.9,15.2,8.8
6.1,10.8,74.3,14.7,8.5
6.4,10.8,73.6,15.3,8.7
5.9,11.2,73.6,14.6,9.1
6.1,10.5,72.2,14.9,9.1
6.3,11.3,70.6,14.6,9.0
6.3,11.1,68.7,15.0,8.7
5.9,11.1,73.0,14.1,9.2
6.2,10.3,71.0,13.9,9.1
5.8,10.5,68.8,14.8,8.5
6.3,11.3,70.7,14.6,9.0
6.4,11.2,70.3,14.1,9.0
6.1,11.1,69.2,13.8,8.6
6.1,10.4,68.2,14.0,9.1
6.3,10.4,68.3,15.1,9.1
5.8,11.3,67.0,14.7,9.3
6.4,11.1,66.8,14.6,8.9
6.0,11.1,61.2,13.9,8.7
5.9,10.5,64.8,15.0,9.1
6.1,11.1,65.4,14.7,8.6
6.3,10.6,61.8,13.7,8.7
6.3,10.5,63.0,13.7,9.1
6.5,11.3,63.7,14.9,8.7
6.0,11.4,57.9,14.5,8.5
6.2,10.9,59.1,14.4,8.9
5.9,10.7,56.4,14.5,8.7
6.4,10.9,56.7,14.8,9.1
5.9,11.0,59.6,14.1,9.0
6.5,11.4,58.4,14.1,9.0
6.3,11.5,54.4,14.6,8.4
6.0,11.1,54.5,14.7,8.4
5.9,10.8,54.2,14.4,8.7
6.1,11.3,53.6,14.6,8.4
6.0,11.4,51.9,14.7,8.8
6.5,11.6,51.7,14.6,9.0
6.3,11.5,53.8,14.4,8.6
6.5,11.5,53.5,13.7,8.6
6.2,11.0,51.0,14.4,8.6
6.0,11.1,50.1,14.2,8.4
6.4,10.7,48.7,14.7,8.4
6.2,11.7,50.9,13.9,8.5
6.6,10.8,52.2,14.8,9.1
6.3,11.7,47.6,14.6,8.3
6.5,11.1,50.0,14.2,8.4
6.3,11.0,47.4,13.5,8.6
6.5,11.4,47.6,13.6,8.7
6.1,11.5,48.1,14.0,8.8
6.4,10.7,44.2,14.4,8.9
6.1,11.1,45.9,13.8,9.0
6.1,10.9,46.9,14.2,8.7
6.4,11.3,42.6,13.7,8.3
6.3,11.0,42.7,14.5,8.8
6.5,10.8,45.2,14.1,8.8
6.4,10.9,44.7,14.3,8.9
6.6,11.5,40.7,14.6,8.2
6.6,11.0,42.0,14.6,8.2
6.2,11.1,39.7,14.2,8.6
6.5,11.5,39.1,13.7,8.6
6.2,11.0,40.5,13.5,8.9
6.6,11.7,38.5,14.3,8.6
6.8,11.4,38.7,14.3,8.2
6.7,11.1,39.7,14.0,8.6
6.5,11.7,36.1,13.7,9.0
6.2,11.9,38.2,14.5,8.4
6.6,11.9,35.0,14.1,8.3
6.8,11.2,36.2,14.3,8.5
6.8,11.9,35.6,13.6,8.4
6.4,11.5,35.5,14.0,8.6
6.3,11.6,33.1,13.5,8.5
6.8,11.7,33.8,13.3,8.3
6.3,11.5,32.9,14.1,8.3
6.8,11.6,31.1,13.4,8.6
6.3,12.1,31.1,13.4,8.5
