左側距離,左前方距離,前方距離,右前方距離,右側距離
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
7.6,12.9,97.0,12.9,8.1
7.6,12.6,102.2,13.0,7.6
7.8,12.9,93.3,13.9,7.8
7.6,12.5,95.7,12.6,8.2
7.3,12.9,94.1,13.6,7.6
7.3,12.3,100.0,13.7,8.1
7.7,12.8,96.9,13.3,8.1
7.2,11.7,95.1,14.0,7.7
7.2,11.8,99.7,13.9,8.3
7.6,12.3,97.3,13.4,8.0
7.6,12.1,89.9,13.9,8.2
7.3,11.5,95.9,14.1,7.6
7.7,10.9,85.2,16.6,7.7
7.5,10.0,64.2,17.6,8.3
8.0,9.5,52.8,19.8,8.5
7.5,8.9,47.1,20.8,8.5
7.4,8.7,43.9,21.5,8.4
7.3,9.1,40.7,20.7,9.1
7.6,8.4,37.6,21.3,9.3
7.4,8.2,37.4,22.1,8.9
6.8,8.5,35.2,23.5,9.3
6.8,8.0,36.5,24.0,9.5
6.5,7.5,32.4,25.3,10.0
7.0,7.8,33.4,25.6,9.6
6.6,7.2,31.2,24.3,10.2
6.7,7.3,31.4,25.5,9.8
6.4,6.8,31.7,25.8,10.2
5.9,6.7,31.3,25.3,10.4
5.6,6.9,31.5,27.4,10.9
5.9,6.8,28.6,26.3,10.9
5.3,6.5,29.9,28.4,11.0
5.3,6.1,28.8,28.0,11.0
5.2,6.1,28.7,27.6,11.1
5.0,5.6,27.2,29.0,11.0
4.8,5.4,26.4,27.3,11.9
4.4,5.1,24.9,28.1,11.3
4.2,5.3,24.8,30.1,11.9
4.4,4.7,25.5,29.0,12.6
3.9,4.8,24.7,31.2,12.9
4.0,4.7,24.6,31.1,12.3
3.7,4.6,23.9,29.9,12.9
3.5,4.3,22.6,31.4,13.3
3.2,4.1,22.0,32.4,13.1
3.1,3.6,21.5,30.8,12.9
3.0,3.5,19.8,30.5,13.3
2.9,3.5,20.8,32.3,14.0
2.6,3.2,19.1,33.6,13.1
2.5,2.9,18.5,32.1,13.3
2.3,2.7,18.3,31.6,13.7
2.0,2.8,20.9,31.8,14.3
2.1,2.9,21.7,30.9,14.3
1.9,2.9,21.7,30.4,13.4
2.0,3.0,22.4,30.2,13.8
1.8,2.8,25.8,29.5,13.6
1.7,2.8,24.8,30.1,14.3
1.7,2.7,26.8,28.6,14.3
1.6,2.7,29.0,28.0,14.0
1.6,3.0,30.9,28.6,14.1
1.5,2.8,30.8,26.3,14.4
1.5,2.8,34.3,27.2,13.5
1.4,2.7,34.4,27.7,13.5
1.4,2.9,38.0,25.6,14.6
1.3,2.7,38.6,25.8,13.6
1.3,2.8,42.1,26.4,13.9
1.2,2.7,44.9,25.4,14.2
1.2,2.8,45.9,25.3,14.5
1.1,2.9,52.6,23.9,13.5
1.1,2.7,52.9,26.0,13.6
1.0,2.7,59.2,25.4,14.0
1.0,2.8,60.5,23.7,13.6
1.0,2.8,61.5,24.3,14.3
0.9,2.8,62.6,23.3,14.0
0.9,2.8,61.3,23.5,14.1
0.9,2.9,58.3,22.8,14.7
0.9,2.8,59.8,24.7,13.9
0.9,2.8,56.8,24.0,13.9
0.8,2.8,57.3,22.6,14.0
0.8,2.7,56.8,23.3,14.8
0.8,2.8,58.2,23.5,14.7
0.8,2.7,54.6,23.8,14.1
0.7,2.6,54.7,23.6,14.2
0.7,2.8,57.8,22.4,15.0
0.7,2.7,56.9,22.3,13.9
0.7,2.8,56.1,24.1,13.9
0.7,2.8,55.9,24.2,14.6
0.7,2.7,55.4,23.0,14.2
0.6,2.6,54.1,22.6,14.6
0.6,2.8,54.3,22.0,14.1
0.6,2.8,53.4,22.0,14.6
0.6,2.6,52.1,22.9,14.0
0.6,2.6,47.8,21.9,15.0
0.6,2.8,51.9,23.0,14.9
0.6,2.6,48.8,21.8,14.6
0.6,2.7,49.5,21.8,13.8
0.6,2.7,49.8,23.2,13.9
0.6,2.7,46.7,23.2,14.6
0.5,2.7,44.2,23.0,14.1
0.5,2.6,46.3,23.6,14.9
0.5,2.7,43.7,22.7,14.7
0.5,2.7,44.7,23.1,14.5
0.5,2.7,43.5,23.6,13.9
0.5,2.6,44.1,23.6,14.2
0.5,2.7,42.1,22.1,14.0
0.5,2.6,44.3,23.5,14.1
0.5,2.6,40.0,23.1,14.2
0.5,2.7,41.8,22.5,14.5
0.5,2.7,41.7,23.5,13.8
0.5,2.5,41.6,21.5,13.9
0.4,2.5,40.5,22.0,14.3
0.4,2.5,39.2,22.5,14.0
0.5,2.6,39.3,22.3,14.2
0.4,2.6,38.7,22.3,14.9
0.4,2.5,36.9,23.6,14.3
0.4,2.6,37.2,23.5,14.8
0.4,2.7,34.9,23.4,14.7
0.4,2.5,36.6,22.2,15.0
0.4,2.6,36.4,22.8,15.1
0.4,2.7,35.8,22.5,14.0
0.4,2.6,34.2,22.8,14.6
0.4,2.7,33.6,22.9,14.8
0.4,2.6,32.8,23.4,14.0
0.4,2.7,30.3,22.4,14.7
0.4,2.6,31.6,23.2,14.5
0.4,2.5,31.2,22.3,14.4
0.4,2.6,29.7,22.6,14.0
0.4,2.7,28.4,21.4,15.0
0.4,2.4,28.0,21.4,14.8
0.4,2.6,28.8,21.5,14.7
0.4,2.4,27.6,21.6,14.5
0.4,2.6,27.2,22.9,13.9
0.4,2.5,26.4,23.2,14.5
0.4,2.5,25.8,22.9,14.1
0.4,2.6,24.1,22.5,14.4
0.4,2.4,24.9,21.4,14.9
0.3,2.6,23.0,21.9,13.9
0.4,2.6,24.5,22.5,13.7
0.4,2.6,22.2,22.6,14.3
0.4,2.6,23.3,22.2,14.1
0.3,2.6,22.1,21.9,13.8
0.4,2.5,20.9,22.2,14.5
0.3,2.6,21.0,22.8,14.3
0.3,2.6,20.1,22.9,14.6
0.3,2.5,19.5,22.1,14.6
0.3,2.5,18.9,22.3,14.4
0.3,2.6,19.0,22.9,14.5
0.3,2.6,17.2,21.6,14.1
0.3,2.5,16.6,22.6,14.0
0.3,2.6,16.9,22.5,14.5
0.3,2.4,16.5,21.4,14.8
0.3,2.6,15.9,22.0,14.0
