左側距離,左前方距離,前方距離,右前方距離,右側距離
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
7.5,13.1,99.7,13.5,7.7
7.4,12.3,99.9,13.1,8.2
7.2,13.0,94.3,12.7,8.3
7.1,12.4,99.6,13.4,7.7
7.8,12.7,92.2,12.8,7.6
7.8,12.7,93.1,12.7,7.6
7.3,11.8,94.8,13.8,7.6
7.5,12.0,96.2,13.2,7.8
7.4,11.7,93.4,12.8,7.7
7.4,12.3,92.2,13.7,7.7
7.4,11.9,94.9,13.8,7.9
7.3,12.5,92.9,14.1,8.3
7.1,12.6,93.0,14.0,7.7
7.0,12.6,94.9,13.4,8.2
7.3,11.7,96.3,13.1,8.3
7.4,12.7,93.3,14.0,7.8
7.1,11.7,93.7,13.3,7.8
7.4,11.3,87.6,15.0,8.0
7.1,10.1,86.4,16.9,7.8
7.3,9.7,61.5,18.5,8.4
7.9,10.0,54.9,18.2,8.6
7.6,9.3,49.2,20.0,8.7
7.6,9.2,43.9,20.0,8.8
7.4,9.1,42.1,20.4,8.9
7.3,8.8,38.6,22.7,9.0
7.2,8.3,37.9,22.9,8.8
7.0,8.0,36.8,23.8,9.0
6.7,8.2,38.0,23.4,8.9
6.8,8.1,36.5,23.2,9.5
6.8,7.4,36.6,23.5,9.8
6.2,7.6,35.5,23.6,9.6
6.5,7.2,33.0,23.3,10.3
6.3,7.1,35.0,25.4,9.7
6.0,7.3,31.5,26.3,10.1
5.6,6.5,33.5,26.5,10.7
5.5,6.6,31.6,26.0,11.1
5.2,6.7,31.1,25.4,11.0
5.4,6.2,31.3,25.6,10.5
5.0,6.3,28.5,27.1,11.5
5.1,5.7,30.6,28.1,11.3
4.6,5.9,29.8,27.7,11.8
4.5,5.7,27.4,28.5,11.7
4.6,5.5,27.6,27.0,11.9
4.4,5.4,27.6,27.2,12.5
4.0,4.7,25.9,29.2,12.1
4.0,4.7,25.2,29.9,12.8
3.7,4.5,26.1,29.7,11.9
3.5,4.4,23.5,30.6,13.0
3.3,4.0,24.7,30.2,13.4
3.1,4.2,23.4,30.5,13.6
2.9,3.9,21.6,31.2,12.5
2.8,3.6,22.2,31.1,13.8
2.8,3.5,21.1,30.8,13.5
2.6,3.3,21.5,31.8,13.4
2.3,3.1,20.0,33.4,13.6
2.3,2.9,20.5,33.2,13.8
2.1,2.8,19.9,31.8,14.2
2.0,2.7,21.0,29.4,14.4
1.8,2.9,23.7,31.7,14.1
1.8,2.7,22.8,28.5,13.5
1.8,2.8,25.6,29.9,14.2
1.7,2.9,26.8,29.4,14.3
1.6,2.9,28.6,29.4,14.3
1.6,2.7,29.0,28.0,14.5
1.5,2.7,30.3,26.9,14.3
1.4,2.8,33.0,27.7,14.0
1.3,2.9,35.7,27.6,14.0
1.4,2.9,36.5,27.6,13.6
1.3,2.8,39.9,26.9,14.5
1.2,2.9,41.1,26.0,13.7
1.2,2.9,42.2,25.7,14.6
1.1,2.7,48.2,25.7,14.4
1.1,2.6,48.8,25.9,14.4
1.1,2.8,49.5,24.9,14.6
1.0,2.9,56.4,24.9,14.1
1.0,2.8,57.5,25.2,14.6
1.0,2.7,57.1,25.5,13.6
0.9,2.7,60.0,25.4,14.8
0.9,2.8,58.3,25.2,14.9
0.8,2.6,55.3,25.2,13.7
0.9,2.8,55.2,23.1,14.6
0.8,2.7,56.6,24.2,14.0
0.8,2.6,53.6,25.0,13.7
0.8,2.6,56.4,24.8,13.9
0.8,2.8,54.4,22.5,14.1
0.7,2.6,52.8,22.8,15.0
0.7,2.8,51.9,24.4,13.8
0.7,2.8,53.1,23.3,14.7
0.7,2.8,53.4,23.5,14.9
0.6,2.8,50.6,22.6,14.5
0.7,2.8,52.2,24.1,14.7
0.6,2.8,51.4,23.6,14.5
0.6,2.7,47.1,24.2,14.2
0.6,2.8,46.5,24.0,14.0
0.6,2.6,47.9,22.9,14.9
0.6,2.8,49.3,23.2,14.3
0.6,2.7,47.3,22.2,14.6
0.5,2.6,46.8,22.8,15.0
0.6,2.7,45.9,22.4,14.3
0.6,2.8,45.4,22.0,15.0
0.5,2.7,42.8,23.0,14.0
0.5,2.6,45.0,22.0,14.1
0.5,2.6,43.8,23.7,14.5
0.5,2.5,42.6,23.3,14.6
0.5,2.7,42.5,22.2,13.9
0.5,2.6,39.5,22.1,14.8
0.5,2.5,41.6,23.3,14.8
0.5,2.6,39.9,22.1,14.7
0.5,2.7,39.8,23.7,13.9
0.5,2.7,38.0,22.2,14.3
0.5,2.6,37.5,22.6,14.4
0.4,2.7,37.3,23.3,15.0
0.5,2.6,36.9,23.1,15.1
0.4,2.6,34.9,21.7,14.4
0.4,2.6,35.4,23.5,14.5
0.4,2.5,34.5,23.1,14.8
0.4,2.5,33.1,23.3,13.9
0.4,2.7,34.0,21.5,14.1
0.4,2.6,32.1,22.8,15.0
0.4,2.7,31.3,21.8,14.8
0.4,2.7,33.5,22.1,14.9
0.4,2.6,31.1,22.2,15.0
0.4,2.5,31.0,22.5,14.4
0.4,2.7,31.0,21.5,14.5
0.4,2.5,29.3,21.9,14.4
0.4,2.6,29.0,22.3,14.6
0.4,2.5,28.0,21.9,14.4
0.4,2.5,27.4,23.0,14.8
0.4,2.7,27.1,23.1,14.0
0.4,2.6,27.1,22.8,14.5
0.4,2.5,27.5,22.9,14.9
0.4,2.6,26.2,21.3,15.1
0.4,2.6,24.5,23.4,14.8
0.4,2.6,24.1,22.3,14.6
0.4,2.5,22.9,21.8,13.8
0.3,2.6,22.7,21.3,14.7
0.4,2.5,22.5,21.3,14.4
0.4,2.6,21.2,21.6,14.6
0.3,2.6,21.0,22.2,14.2
0.3,2.6,20.2,22.6,14.2
0.3,2.4,20.8,22.3,15.0
0.3,2.6,20.6,23.4,14.4
0.3,2.5,20.1,22.5,14.8
0.3,2.6,19.1,22.5,14.0
0.3,2.4,18.3,21.7,13.8
0.3,2.4,17.7,21.6,13.8
0.3,2.5,17.2,23.1,14.8
0.3,2.4,15.5,23.1,15.0
0.3,2.4,15.9,21.8,13.8
0.3,2.6,15.7,22.4,15.1
