左側距離,左前方距離,前方距離,右前方距離,右側距離
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
7.3,12.6,99.8,12.7,8.3
7.2,12.6,101.9,12.9,7.8
7.3,13.1,98.1,13.8,8.1
7.1,12.9,98.9,12.9,8.0
7.1,12.5,97.5,14.0,8.0
7.1,12.1,98.2,13.0,8.0
7.4,12.7,100.6,14.0,7.7
7.8,12.8,94.4,14.0,8.0
7.2,12.2,99.5,13.7,8.0
7.8,12.7,93.8,14.0,8.2
7.2,12.8,92.7,12.9,8.2
7.5,12.8,91.1,13.9,7.6
7.7,12.6,97.2,13.0,8.2
7.6,12.3,94.0,12.9,7.6
7.4,12.0,93.1,14.0,7.6
7.1,11.8,92.4,13.8,8.2
7.4,12.2,92.6,13.7,7.8
7.5,12.3,89.3,13.4,8.2
7.6,12.1,93.7,14.4,8.0
7.2,11.5,91.2,15.1,8.0
7.2,10.9,83.3,15.6,7.7
7.7,10.4,63.8,18.3,8.2
7.7,9.6,52.1,18.9,8.4
7.8,9.0,47.5,19.9,8.7
7.4,9.0,44.3,20.1,8.2
7.6,8.5,43.5,21.0,9.0
7.2,9.0,40.6,22.3,8.9
7.4,8.2,37.0,21.8,9.4
7.3,8.1,38.4,21.9,9.2
6.9,8.0,38.4,23.7,9.3
7.0,8.1,35.4,23.6,9.2
6.7,7.6,35.3,22.9,9.9
6.6,7.5,35.0,23.9,10.2
6.4,7.7,33.2,23.8,9.6
5.9,7.5,33.9,24.3,9.7
6.1,7.0,31.4,24.1,10.6
5.8,6.5,33.6,25.7,10.9
5.7,6.6,30.2,26.1,10.7
5.6,6.2,31.2,24.8,11.1
5.0,6.6,30.8,27.1,11.4
5.1,6.0,31.3,25.6,11.6
4.9,5.8,28.2,26.4,10.8
4.8,5.5,29.3,27.1,11.2
4.7,5.6,29.1,27.8,11.4
4.6,5.3,28.4,28.6,11.5
4.1,5.2,28.0,27.0,12.5
4.1,4.8,25.6,29.9,12.4
3.8,5.0,25.2,29.5,12.4
3.8,4.6,26.0,28.9,12.6
3.6,4.4,23.9,29.5,12.2
3.3,4.1,23.1,28.6,13.1
3.3,4.0,24.0,30.2,13.3
3.0,3.9,21.9,31.0,12.8
3.0,3.7,22.2,31.5,13.2
2.8,3.4,20.7,31.9,13.1
2.5,3.1,21.8,30.8,13.0
2.3,3.2,20.3,31.5,13.4
2.3,2.8,20.2,30.7,13.6
2.1,2.9,20.3,30.7,14.1
1.9,3.0,21.9,31.2,14.5
1.9,2.7,23.3,29.1,14.2
1.9,2.7,23.2,30.8,14.0
1.8,2.9,26.0,28.5,13.4
1.6,2.7,27.4,28.4,14.2
1.6,2.7,27.5,28.1,14.2
1.5,2.8,29.4,28.8,14.1
1.5,2.9,30.8,27.1,13.9
1.5,2.7,33.2,26.4,14.3
1.4,2.8,34.1,27.9,14.7
1.3,2.8,37.4,25.8,14.7
1.3,2.9,38.1,26.5,14.5
1.3,2.9,39.5,26.0,13.9
1.2,2.7,44.1,26.0,14.4
1.1,2.8,48.3,25.5,13.8
1.1,2.8,47.1,25.2,13.5
1.1,2.8,53.5,26.1,14.3
1.1,2.9,52.4,25.3,13.6
1.0,2.8,58.0,23.8,13.7
0.9,2.8,56.2,23.7,13.7
0.9,2.7,57.8,25.2,14.5
0.9,2.6,57.6,23.5,13.6
0.8,2.7,53.0,25.1,13.8
0.8,2.8,56.2,23.9,14.2
0.8,2.7,54.0,23.6,14.6
0.8,2.7,54.1,24.3,14.5
0.8,2.7,55.4,24.8,14.8
0.7,2.8,52.0,23.2,13.8
0.7,2.8,51.1,22.9,14.9
0.7,2.6,52.2,23.9,15.0
0.7,2.8,52.0,24.5,14.9
0.6,2.7,49.1,23.6,13.8
0.6,2.7,49.0,24.4,13.8
0.6,2.7,46.9,22.1,14.3
0.6,2.6,50.3,23.8,14.2
0.6,2.7,47.6,23.2,14.1
0.6,2.7,47.6,24.2,13.8
0.6,2.7,44.8,24.2,14.2
0.6,2.6,45.0,22.2,14.6
0.6,2.8,46.7,22.5,14.0
0.5,2.5,46.1,24.0,13.7
0.6,2.6,45.0,22.5,14.7
0.5,2.7,42.7,22.2,13.9
0.5,2.7,44.2,22.3,14.5
0.5,2.5,42.0,22.4,13.7
0.5,2.6,40.4,22.0,14.2
0.5,2.7,39.6,23.2,14.7
0.5,2.6,41.6,22.5,14.5
0.5,2.6,40.1,21.7,14.7
0.5,2.5,40.4,22.4,14.7
0.5,2.5,37.6,22.9,14.4
0.5,2.6,38.3,23.6,14.7
0.5,2.5,39.3,23.4,14.8
0.5,2.5,37.5,21.5,13.8
0.5,2.6,36.8,22.4,13.9
0.4,2.6,34.0,22.5,13.9
0.4,2.5,36.9,22.2,14.9
0.4,2.5,34.8,21.9,14.0
0.4,2.5,33.9,22.2,14.4
0.4,2.6,34.1,22.9,14.2
0.4,2.5,33.0,22.4,14.6
0.4,2.5,32.0,22.1,13.9
0.4,2.7,31.8,22.7,14.2
0.4,2.6,32.5,23.4,14.6
0.4,2.5,31.3,23.2,13.7
0.4,2.6,29.8,22.2,14.1
0.4,2.6,29.3,21.6,14.5
0.4,2.6,28.3,23.1,14.9
0.4,2.6,27.8,21.6,13.8
0.4,2.6,27.5,21.7,14.8
0.4,2.4,27.6,22.2,14.8
0.4,2.6,25.1,21.3,14.5
0.4,2.5,25.8,22.8,14.3
0.4,2.4,25.7,21.9,13.8
0.4,2.5,24.1,23.0,14.7
0.4,2.4,22.9,22.7,14.6
0.4,2.6,24.3,23.5,14.3
0.4,2.5,22.8,22.2,14.8
0.3,2.6,22.2,23.1,14.8
0.3,2.6,21.8,22.5,14.0
0.3,2.5,21.7,22.8,14.7
0.4,2.5,19.7,22.3,14.4
0.3,2.6,19.5,21.7,14.4
0.3,2.5,19.1,23.1,14.5
0.3,2.4,18.0,22.2,14.8
0.3,2.6,17.8,23.5,14.4
0.3,2.4,16.7,23.0,14.6
0.3,2.4,16.5,22.1,14.0
0.3,2.5,16.5,22.9,14.0
0.3,2.6,15.7,22.6,14.6
0.3,2.5,14.5,21.8,13.9
