左側距離,左前方距離,前方距離,右前方距離,右側距離
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
7.2,12.6,102.0,13.5,7.6
7.8,13.1,92.8,12.8,8.3
7.2,12.3,93.6,12.9,7.8
7.8,12.2,98.8,13.2,8.1
7.6,12.9,99.4,13.5,8.2
7.5,12.4,101.0,13.9,7.9
7.4,12.6,94.9,13.4,7.9
7.4,12.2,96.1,12.8,7.6
7.6,12.6,95.4,13.0,8.0
7.2,12.1,95.5,14.0,8.0
7.1,12.0,89.7,12.9,7.8
7.3,12.3,89.3,12.9,7.6
7.1,11.6,96.7,13.7,7.6
7.4,12.3,95.8,13.1,7.9
7.1,12.4,94.1,13.5,8.0
7.5,12.3,94.0,13.4,8.2
7.3,12.7,95.2,13.5,8.3
7.4,12.4,92.8,13.4,7.7
7.1,11.5,94.2,13.2,7.9
7.7,11.7,85.4,13.9,8.0
7.4,12.4,85.2,14.2,7.8
7.5,12.3,91.6,14.1,7.9
6.9,11.8,85.4,13.3,7.9
7.1,12.2,88.3,14.0,7.7
7.6,12.1,88.0,13.5,7.7
7.3,12.3,82.2,13.6,8.4
7.4,12.5,84.3,13.3,8.0
7.0,12.1,87.2,13.2,7.8
7.6,12.3,82.9,13.0,7.9
6.9,12.0,84.9,14.0,8.0
7.2,12.0,79.5,13.6,8.3
7.2,11.3,81.5,14.6,8.0
7.0,9.9,84.8,15.8,8.5
7.5,9.9,50.8,17.8,8.2
7.5,9.1,38.0,23.6,8.8
7.8,8.2,27.7,28.0,9.1
8.4,7.7,20.6,40.6,9.4
9.3,7.6,17.1,61.2,11.1
10.9,7.2,14.1,78.7,12.6
13.3,6.9,11.7,79.7,13.8
13.9,7.3,10.6,84.1,17.0
15.6,6.9,9.7,54.9,19.4
17.2,7.0,8.4,44.5,20.7
18.5,6.8,7.9,38.5,23.1
18.6,6.3,7.6,33.0,26.0
17.4,6.2,7.1,29.4,26.7
17.2,5.6,6.7,30.6,25.5
14.7,5.2,6.3,32.0,25.2
12.4,4.9,6.4,40.0,24.4
10.2,4.6,6.7,63.4,20.6
9.4,4.5,7.4,82.6,19.1
7.3,4.4,8.9,76.4,17.3
6.7,4.5,9.9,76.6,14.3
5.6,4.4,12.4,63.2,13.5
5.0,4.2,13.3,51.6,12.9
4.8,4.1,14.2,47.0,13.6
4.5,4.2,16.0,42.9,13.0
4.2,4.1,16.0,39.6,12.7
3.6,3.8,15.4,40.1,13.6
3.6,3.5,16.3,38.1,13.8
3.2,3.2,16.2,38.6,13.6
2.9,3.1,15.2,38.2,14.2
2.8,3.0,14.8,37.6,13.8
2.6,2.9,16.8,37.8,13.6
2.6,3.0,16.2,37.0,14.2
2.4,2.9,17.9,34.7,14.4
2.2,2.9,18.5,32.1,13.8
2.1,2.7,19.4,31.6,14.5
2.1,2.8,20.7,31.8,13.5
2.1,2.7,21.2,30.3,14.5
2.0,2.9,23.2,30.9,13.7
1.9,2.8,23.5,31.0,14.3
1.8,2.8,24.1,30.0,13.8
1.6,2.8,26.1,27.4,13.8
1.7,2.7,28.2,28.5,13.7
1.6,2.8,28.9,27.0,14.0
1.6,2.8,32.1,27.0,14.2
1.5,2.7,31.2,27.3,13.8
1.3,2.9,32.9,27.1,14.7
1.3,2.7,36.4,25.6,14.0
1.3,2.9,40.1,25.1,13.8
1.3,2.7,41.0,24.9,14.3
1.2,2.8,42.9,25.3,13.7
1.1,2.8,47.4,26.6,13.7
1.1,2.8,48.9,24.4,13.6
1.1,2.7,51.4,24.4,14.6
1.1,2.7,55.0,25.6,13.8
1.0,2.8,55.7,24.1,13.7
0.9,2.9,58.8,23.7,14.2
1.0,2.8,60.7,23.8,14.1
0.9,2.8,57.8,23.1,14.0
0.9,2.7,59.1,23.6,14.9
0.9,2.8,61.3,23.4,13.6
0.8,2.7,56.5,24.4,14.3
0.9,2.8,58.8,23.6,14.7
0.8,2.8,56.0,22.6,13.9
0.8,2.8,56.8,22.7,14.1
0.8,2.8,55.7,24.5,14.3
0.7,2.6,53.0,23.4,13.8
0.7,2.6,55.1,24.5,14.2
0.7,2.8,54.9,22.7,14.3
0.7,2.7,54.8,22.3,14.6
0.7,2.8,55.3,23.0,14.0
0.6,2.7,50.8,24.0,14.1
0.6,2.8,53.1,23.9,13.7
0.6,2.7,52.8,23.2,13.9
0.6,2.8,49.0,24.2,14.7
0.6,2.6,50.1,23.1,14.8
0.6,2.7,49.1,23.8,13.7
0.5,2.8,46.7,22.9,14.9
0.6,2.8,48.9,22.0,14.7
0.6,2.8,47.4,23.4,14.4
0.5,2.8,47.9,22.3,14.1
0.5,2.8,46.2,23.7,15.0
0.5,2.8,44.6,23.7,14.5
0.5,2.6,43.1,22.5,15.0
0.5,2.8,43.0,23.6,14.6
0.5,2.6,46.1,21.8,13.9
0.5,2.7,42.8,22.0,14.6
0.5,2.6,41.5,22.7,14.9
0.5,2.7,43.2,21.9,14.7
0.5,2.5,40.7,22.4,14.0
0.5,2.6,42.2,21.5,15.0
0.5,2.5,41.8,23.4,14.6
0.5,2.7,41.3,23.4,14.1
0.4,2.7,39.1,21.8,13.9
0.4,2.5,39.4,23.0,15.1
0.5,2.5,38.2,22.1,14.3
0.4,2.6,36.1,23.0,13.7
0.4,2.7,38.1,22.1,14.8
0.4,2.7,35.9,22.8,14.2
0.4,2.6,37.4,23.1,14.4
0.4,2.7,34.7,23.4,15.1
0.4,2.5,34.3,23.1,14.2
0.4,2.5,34.5,22.3,14.1
0.4,2.6,33.7,23.3,15.0
0.4,2.6,33.7,22.4,14.5
0.4,2.5,31.6,23.1,14.6
0.4,2.6,31.4,23.1,13.9
0.4,2.5,31.6,22.6,14.0
0.4,2.5,31.0,23.0,15.1
0.4,2.6,29.7,21.8,15.0
0.4,2.4,27.9,23.2,14.7
0.4,2.6,27.8,21.7,13.8
0.4,2.6,28.4,23.4,14.1
0.4,2.5,26.7,23.5,14.0
0.4,2.5,27.5,23.4,14.6
0.4,2.5,25.9,22.8,14.1
0.4,2.6,24.6,22.6,14.9
0.4,2.4,25.4,22.5,14.5
0.3,2.5,24.5,21.3,14.7
0.3,2.5,25.1,23.0,14.8
0.4,2.6,24.2,21.7,14.3
0.3,2.4,22.4,23.0,14.3
0.3,2.5,21.7,23.1,13.7
0.3,2.4,21.2,22.3,14.9
0.3,2.4,20.3,22.4,13.7
0.3,2.4,21.4,21.6,14.0
0.4,2.4,19.5,21.6,15.0
0.3,2.6,20.1,22.1,14.9
0.3,2.4,18.1,22.4,14.6
0.3,2.6,18.2,23.2,15.1
0.3,2.4,17.1,21.5,14.8
0.3,2.6,17.3,21.7,15.0
0.3,2.5,16.9,22.4,14.9
0.3,2.6,15.0,21.9,13.7
0.3,2.4,14.6,23.2,14.7
